# Skate 3 audio corpus: the functions that actually executed.
#
# Measured 2026-09-11. This file exists because the first Phase 0a measurement was
# lost: every trace artifact lands in probe/trace/out/, and .gitignore's 'out/' rule
# exists for retail-derived game data, not for measurements. A session's executed set
# cannot be regenerated without the game, a boot and the same pad timeline, so it is
# tracked here instead. The 1,693-function corpus is NOT tracked, deliberately: it is
# derivable from probe/trace/corpus.py, which is.
#
# trace header : skate3 guest trace: mode=first reason=controller recorded=16640 written=16640 capacity=262144
# label        : p11_trace
# arm / mode   : TRACE_ARM=boot, TRACE_MODE=first (one entry per function)
# dump         : skate3_trace_dump_delay_ms=120000, i.e. 120 s after gameplay
# pad macro    : a:700,a:700,a:700,a:700,x:900,a:700,a:700,back:1200
# binary       : skate3recomp-dev/out/build/linux-release-jammy/skate3
# audio hooks  : neither skate3_audio_shadow nor skate3_audio_native set, so all six
#                hooks fell through to __imp__ and this is original guest behaviour
#
# corpus executed : 758 of 1693 (44.8%)
# vector executed : 30 of 49
# audio thread    : 216 (200 scalar)
#
# NOT a maximum. The documented union of three earlier sessions is 789; this single
# session has no map switch, whose streaming paths account for the difference. It is
# also an upper bound on audio work in the other direction: the corpus is call-graph
# bounded from audio seeds and so contains main- and render-thread code.
#
# Re-intersect without the game:
#   python3 probe/trace/analyze_trace.py probe/trace/out/corpus.json <trace>
#
# address	vec	thread of first call
82B36ED0	0	load_thread (F8/1199277
82B370E8	0	RwAudioCore Dac/1199309
82B373C8	29	RwAudioCore Dac/1199309
82B376B8	0	RwAudioCore Dac/1199309
82B388C0	0	load_thread (F8/1199277
82B389A0	42	RwAudioCore Dac/1199309
82B38B68	0	RwAudioCore Dac/1199309
82B395E8	0	load_thread (F8/1199277
82B39690	0	RwAudioCore Dac/1199309
82B39728	0	load_thread (F8/1199277
82B39820	0	RwAudioCore Dac/1199309
82B399D0	98	RwAudioCore Dac/1199309
82B39FA0	0	RwAudioCore Dac/1199309
82B3BED8	25	RwAudioCore Dac/1199309
82B3C098	69	RwAudioCore Dac/1199309
82B3C2D0	0	RwAudioCore Dac/1199309
82B3C668	0	RwAudioCore Dac/1199309
82B3C810	0	RwAudioCore Dac/1199309
82B3C870	0	RwAudioCore Dac/1199309
82B3C930	0	RwAudioCore Dac/1199309
82B3C9D8	0	RwAudioCore Dac/1199309
82B3CA60	0	RwAudioCore Dac/1199309
82B3CCC8	0	load_thread (F8/1199277
82B3CD38	0	RwAudioCore Dac/1199309
82B3CF58	25	RwAudioCore Dac/1199309
82B3D0A8	56	RwAudioCore Dac/1199309
82B3D4F8	0	RwAudioCore Dac/1199309
82B3D578	0	RwAudioCore Dac/1199309
82B3D590	0	load_thread (F8/1199277
82B3D668	0	RwAudioCore Dac/1199309
82B3D8E0	0	RwAudioCore Dac/1199309
82B3DB90	0	RwAudioCore Dac/1199309
82B3DC48	0	RwAudioCore Dac/1199309
82B3DD90	0	RwAudioCore Dac/1199309
82B3DEA8	0	RwAudioCore Dac/1199309
82B3DF90	0	RwAudioCore Dac/1199309
82B426D0	0	RwAudioCore Dac/1199309
82B427D8	36	RwAudioCore Dac/1199309
82B42C98	99	RwAudioCore Dac/1199309
82B43AF8	0	RwAudioCore Dac/1199309
82B43CC0	0	RwAudioCore Dac/1199309
82B43D78	0	RwAudioCore Dac/1199309
82B43FB8	0	RwAudioCore Dac/1199309
82B443F8	0	RwAudioCore Dac/1199309
82B444C0	0	RwAudioCore Dac/1199309
82B44858	0	RwAudioCore Dac/1199309
82B44B20	33	RwAudioCore Dac/1199309
82B44D18	84	RwAudioCore Dac/1199309
82B44FE8	0	load_thread (F8/1199277
82B453D8	0	RwAudioCore Dac/1199309
82B454B8	0	RwAudioCore Dac/1199309
82B45788	0	RwAudioCore Dac/1199309
82B45B60	0	RwAudioCore Dac/1199309
82B45C50	0	RwAudioCore Dac/1199309
82B460A0	0	RwAudioCore Dac/1199309
82B46260	0	load_thread (F8/1199277
82B46350	0	load_thread (F8/1199277
82B463A8	0	RwAudioCore Dac/1199309
82B463D8	0	load_thread (F8/1199277
82B46770	0	load_thread (F8/1199277
82B46810	0	RwAudioCore Dac/1199309
82B468C0	0	RwAudioCore Dac/1199309
82B46A28	0	load_thread (F8/1199277
82B46B30	0	RwAudioCore Dac/1199309
82B46EA0	0	RwAudioCore Dac/1199309
82B46FB0	0	RwAudioCore Dac/1199309
82B47010	0	RwAudioCore Dac/1199309
82B470D0	0	RwAudioCore Dac/1199309
82B474B8	0	RwAudioCore Dac/1199309
82B47658	0	RwAudioCore Dac/1199309
82B47910	0	load_thread (F8/1199277
82B47A68	0	RwAudioCore Dac/1199309
82B47D58	0	RwAudioCore Dac/1199309
82B47E68	0	load_thread (F8/1199277
82B48260	0	load_thread (F8/1199277
82B482F8	0	RwAudioCore Dac/1199309
82B48440	0	RwAudioCore Dac/1199309
82B48530	0	RwAudioCore Dac/1199309
82B487A8	0	load_thread (F8/1199277
82B48840	0	load_thread (F8/1199277
82B488D0	0	load_thread (F8/1199277
82B489D0	0	RwAudioCore Dac/1199309
82B48A50	0	RwAudioCore Dac/1199309
82B48C48	0	load_thread (F8/1199277
82B48F28	0	RwAudioCore Dac/1199309
82B49100	0	RwAudioCore Dac/1199309
82B49210	0	RwAudioCore Dac/1199309
82B49238	0	RwAudioCore Dac/1199309
82B49268	0	RwAudioCore Dac/1199309
82B49280	0	RwAudioCore Dac/1199309
82B49438	0	RwAudioCore Dac/1199309
82B4F5F8	0	RwAudioCore Dac/1199309
82B4F6E8	0	load_thread (F8/1199277
82B4F8A8	0	RwAudioCore Dac/1199309
82B4F8C8	0	RwAudioCore Dac/1199309
82B4FAF8	0	RwAudioCore Dac/1199309
82B4FC00	0	RwAudioCore Dac/1199309
82B4FD40	32	RwAudioCore Dac/1199309
82B4FE40	0	RwAudioCore Dac/1199309
82B50100	0	RwAudioCore Dac/1199309
82B50270	0	RwAudioCore Dac/1199309
82B50380	217	RwAudioCore Dac/1199309
82B50B78	0	RwAudioCore Dac/1199309
82B50B80	0	RwAudioCore Dac/1199309
82B61BB8	0	Main XThread (F/1199275
82B69978	0	Main XThread (F/1199275
82B69A58	0	Main XThread (F/1199275
82B69B08	0	Main XThread (F/1199275
82B69B68	0	load_thread (F8/1199277
82B69C10	0	Main XThread (F/1199275
82B69C58	0	Main XThread (F/1199275
82B69CE8	0	Main XThread (F/1199275
82B69DB8	0	Main XThread (F/1199275
82B69EA8	0	Main XThread (F/1199275
82B6A080	0	Main XThread (F/1199275
82B6A208	0	Main XThread (F/1199275
82B6A320	0	Main XThread (F/1199275
82B6A418	0	Main XThread (F/1199275
82B6A7F0	0	Main XThread (F/1199275
82B6AC00	0	Main XThread (F/1199275
82B6AE18	0	Main XThread (F/1199275
82B6B318	0	Main XThread (F/1199275
82B6B898	0	Main XThread (F/1199275
82B6BC30	0	Main XThread (F/1199275
82B6BD68	0	Main XThread (F/1199275
